neighbourhood,total_appointments,no_show_rate_percent
"SANTOS DUMONT",1276,28.92
"SANTA CLARA",506,26.48
ITARARÉ,3514,26.27
"JESUS DE NAZARETH",2853,24.40
"ILHA DO PRÍNCIPE",2266,23.48
CARATOÍRA,2565,23.04
ANDORINHAS,2262,23.03
"PRAIA DO SUÁ",1288,22.83
GURIGICA,2018,22.60
"BENTO FERREIRA",858,22.49
"PARQUE MOSCOSO",802,22.32
MARUÍPE,1902,22.29
"ILHA DAS CAIEIRAS",1071,21.94
"FONTE GRANDE",682,21.85
CRUZAMENTO,1398,21.75
"SÃO JOSÉ",1977,21.65
ROMÃO,2215,21.40
CENTRO,3334,21.09
"SÃO PEDRO",2448,21.04
"MARIA ORTIZ",5805,21.00
"SANTOS REIS",547,20.48
RESISTÊNCIA,4431,20.45
"SANTA TEREZA",1332,20.42
"GRANDE VITÓRIA",1071,20.26
"MONTE BELO",824,20.15
"BELA VISTA",1907,20.14
"SÃO BENEDITO",1439,19.94
BONFIM,2773,19.83
"SÃO CRISTÓVÃO",1836,19.77
"SANTO ANDRÉ",2571,19.76
ESTRELINHA,538,19.70
GOIABEIRAS,700,19.57
"DA PENHA",2217,19.35
JUCUTUQUARA,694,19.16
"ILHA DE SANTA MARIA",1885,19.15
INHANGUETÁ,1057,19.11
"JARDIM CAMBURI",7717,18.98
CONQUISTA,849,18.85
"PRAIA DO CANTO",1035,18.36
"FORTE SÃO JOÃO",1889,18.32
TABUAZEIRO,3132,18.30
"JOANA D´ARC",1427,18.08
JABOUR,2509,17.98
"NOVA PALESTINA",2264,17.76
REDENÇÃO,1553,17.71
"SANTO ANTÔNIO",2746,17.63
CONSOLAÇÃO,1376,17.22
REPÚBLICA,835,17.13
"MATA DA PRAIA",644,17.08
"VILA RUBIM",851,16.57
"DO QUADRO",849,16.49
"JARDIM DA PENHA",3877,16.28
"SANTA MARTHA",3131,15.84
"DO CABRAL",560,15.71
